MemId,Name,Family,Region,ImageUrl,IsClarified,EditTime
11167,حسین امامی راد,,چناران و بینالود,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11167,False,2023-11-05T16:46:56.009082
11028,احمد امیرآبادی فراهانی,,قم,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11028,False,2023-11-05T16:46:56.009082
11029,سیدحمزه امینی,,هشترود و چاراویماق,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11029,False,2023-11-05T16:46:56.009082
11030,مجید انصاری,,ممسنی و رستم,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11030,False,2023-11-05T16:46:56.009082
11031,شارلی انویه تکیه,,مسیحیان آشوری و کلدانی,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11031,False,2023-11-05T16:46:56.009082
11032,پرویز اوسطی,,قروه و دهگلان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11032,False,2023-11-05T16:46:56.009082
11026,عزت‌اله اکبری تالارپشتی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11026,False,2023-11-05T16:46:56.009082
11278,عبدالجلال ایری,,کردکوی، ترکمن، بندرگز و گمیشان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11278,False,2023-11-05T16:46:56.009082
11033,عبداله ایزدپناه,,ایذه، باغملک، دزپارت و صیدون,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11033,False,2023-11-05T16:46:56.009082
11034,روح اله ایزدخواه,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11034,False,2023-11-05T16:46:56.009082
11035,علی بابائی کارنامی,,ساری و میاندورود,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11035,False,2023-11-05T16:46:56.009082
11036,علی اصغر باقرزاده,,بابلسر و فریدونکنار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11036,False,2023-11-05T16:46:56.009082
11037,محمد باقری,,بناب,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11037,False,2023-11-05T16:46:56.009082
11279,مهدی باقری,,زنجان و طارم,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11279,False,2023-11-05T16:46:56.009082
11038,حسین بامیری,,لردگان و خانمیرزا,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11038,False,2023-11-05T16:46:56.009082
11039,امیرحسین بانکی پورفرد,,اصفهان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11039,False,2023-11-05T16:46:56.009082
11280,مجتبی بخشی پور,,اسلام آباد غرب و دالاهو,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11280,False,2023-11-05T16:46:56.009082
11040,صدیف بدری,,اردبیل، نمین، نیر و سرعین,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11040,False,2023-11-05T16:46:56.009082
11041,علی اکبر بسطامی,,ایلام، ایوان، چرداول، مهران، ملکشاهی و شیروان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11041,False,2023-11-05T16:46:56.009082
11042,فرهاد بشیری,,پاکدشت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11042,False,2023-11-05T16:46:56.009082
11043,روبرت بگلریان,,مسیحیان ارمنی جنوب ایران,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11043,False,2023-11-05T16:46:56.009082
11044,خلیل بهروزی فر,,فومن و شفت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11044,False,2023-11-05T16:46:56.009082
11288,ولی‌اله بیاتی تفرش,,تفرش، آشتیان و فراهان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11288,False,2023-11-05T16:46:56.009082
11045,هادی بیگی نژاد,,ملایر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11045,False,2023-11-05T16:46:56.009082
11046,معصومه پاشائی بهرام,,مرند و جلفا,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11046,False,2023-11-05T16:46:56.009082
11047,علیرضا پاک فطرت,,شیراز و زرقان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11047,False,2023-11-05T16:46:56.009082
11048,سیدمحمد پاک مهر,,بجنورد، مانه، سملقان، جاجرم، گرمه، راز و جرگلان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11048,False,2023-11-05T16:46:56.009082
11049,مسعود پزشکیان,,تبریز، آذرشهر و اسکو,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11049,False,2023-11-05T16:46:56.009082
11050,نصرالله پژمان‌فر,,مشهد و کلات,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11050,False,2023-11-05T16:46:56.009082
11051,محمدرضا پورابراهیمی داورانی,,کرمان و راور,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11051,False,2023-11-05T16:46:56.009082
11052,محسن پیرهادی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11052,False,2023-11-05T16:46:56.009082
11054,سیدرضا تقوی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11054,False,2023-11-05T16:46:56.009082
11055,رضا تقی پورانوری,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11055,False,2023-11-05T16:46:56.009082
11056,مجتبی توانگر,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11056,False,2023-11-05T16:46:56.009082
11289,فتح‌الله توسلی,,بهار، کبودرآهنگ,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11289,False,2023-11-05T16:46:56.009082
11057,احمد جباری,,بندرلنگه، بستک و پارسیان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11057,False,2023-11-05T16:46:56.009082
11058,علی جدی,,شیروان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11058,False,2023-11-05T16:46:56.009082
11060,امیرقلی جعفری بروجنی,,بروجن,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11060,False,2023-11-05T16:46:56.009082
11061,وحید جلال زاده,,ارومیه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11061,False,2023-11-05T16:46:56.009082
11062,حسین جلالی,,رفسنجان و انار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11062,False,2023-11-05T16:46:56.009082
11063,عبدالکریم جمیری,,بوشهر، گناوه و دیلم,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11063,False,2023-11-05T16:46:56.009082
11065,عباس جهانگیرزاده,,پارس آباد و بیله سوار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11065,False,2023-11-05T16:46:56.009082
11064,محمدصالح جوکار,,یزد، اشکذر،بخش ندوشن و دهستان سورک,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11064,False,2023-11-05T16:46:56.009082
11281,شبیب جویجری,,اهواز، باوی، حمیدیه و کارون,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11281,False,2023-11-05T16:46:56.009082
11066,هاجر چنارانی,,نیشابور و فیروزه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11066,False,2023-11-05T16:46:56.009082
11067,حسین حاتمی,,کلیبر، خداآفرین و هوراند,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11067,False,2023-11-05T16:46:56.009082
11068,حمیدرضا حاجی بابائی,,همدان و فامنین,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11068,False,2023-11-05T16:46:56.009082
