MemId,Name,Family,Region,ImageUrl,IsClarified
11141,معین الدین سعیدی,,چابهار، نیک شهر، کنارك و قصرقند,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11141,f
11284,اصغر سلیمی,,سمیرم,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11284,f
11142,علیرضا سلیمی,,محلات و دلیجان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11142,f
11143,رمضانعلی سنگدوینی,,گرگان و آق‌قلا,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11143,f
11144,لطف اله سیاه کلی,,قزوین، آبیک و البرز,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11144,f
11145,امانقلیچ شادمهر,,گنبد کاووس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11145,f
11147,آرا شاوردیان,,مسیحیان ارمنی شمال ایران,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11147,f
11146,اقبال شاکری,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11146,f
11148,حسن شجاعی علی آبادی,,ابهر،خرمدره و سلطانیه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11148,f
11149,غلام رضا شریعتی اندراتی,,بهشهر، نکا و گلوگاه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11149,f
11151,مالک شریعتی نیاسر,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11151,f
11150,عفت شریعتی کوهبنانی,,زرند و کوهبنان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11150,f
11152,مهدی شریفیان,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11152,f
11154,علیرضا شهبازی,,نهاوند,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11154,f
11155,حسینعلی شهریاری,,زاهدان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11155,f
11153,منصور شکرالهی,,کهنوج، منوجان، رودبارجنوب، قلعه گنج و فاریاب,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11153,f
11156,زهرا شیخی,,اصفهان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11156,f
11157,مسلم صالحی,,اقلید,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11157,f
11158,پروین صالحی مبارکه,,مبارکه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11158,f
11159,محمدرضا صباغیان بافقی,,مهریز، بافق، ابرکوه، خاتم و بهاباد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11159,f
11160,محمد صفائی دلوئی,,مریوان و سروآباد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11160,f
11161,محمد صفری ملک میان,,رودسر و املش,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11161,f
11162,مصطفی طاهری,,زنجان و طارم,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11162,f
11163,سیدصادق طباطبائی نژاد,,اردستان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11163,f
11164,مهدی طغیانی,,اصفهان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11164,f
11165,فرهاد طهماسبی,,نی ریز، استهبان و بختگان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11165,f
11166,روح اله عباس پور,,بوئین زهرا و آوج,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11166,f
11168,محمود عباس زاده مشکینی,,مشگین‌شهر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11168,f
11285,علیرضا عباسی,,کرج، اشتهارد و فردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11285,f
11169,فریدون عباسی دوانی,,کازرون و کوه چنار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11169,f
11170,ابراهیم عزیـــزی,,کرمانشاه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11170,f
11286,ابراهیم عزیـــزی,,کرمانشاه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11286,f
11172,مهدی عسگری,,کرج، اشتهارد و فردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11172,f
11171,محمدجواد عسکری,,داراب و زرین دشت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11171,f
11173,محمد علی پور,,ماکو، چالدران، پلدشت و شوط,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11173,f
11174,کمال علی پورخنکداری,,قائم شهر، سوادکوه، جویبار، سیمرغ و سوادکوه شمالی,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11174,f
11175,احمد علی رضابیگی,,تبریز، آذرشهر و اسکو,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11175,f
11176,علی علی زاده,,مراغه و عجب شیر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11176,f
11287,بهزاد علیزاده,,دهلران، دره شهر، آبدانان و بدره,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11287,f
11177,محسن علیزاده,,سپیدان و بیضاء,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11177,f
11178,علی اکبر علیزاده برمی,,دامغان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11178,f
11179,ابوالفضل عموئی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11179,f
